boutique,code_postal,client_anciennete,frequence_visites,captation,causes_achats,produit_prefere,produits_moins_connus,client_internet,volonte_boutique_proche,lat,lon,lat_boutique,lon_boutique
Biarritz,18200,Depuis quelques annees,exceptionelle,par hasard en passant devant; bouche a oreille,pour me faire plaisir; pour regaler ma famille; pour faire un cadeau,Autres,Autres,Non,oui,46.70713386075949,2.522882741772152,43.47114375,-1.552726590666314
Biarritz,92000,Depuis quelques annees,exceptionelle,bouche a oreille,pour me faire plaisir,Gateau basque,Je ne sais pas,Non,oui,48.89277833691774,2.207262274083251,43.47114375,-1.552726590666314
Biarritz,64200,Depuis toujours,exceptionelle,"avec vos parents, votre famille",pour me faire plaisir; pour regaler ma famille; pour faire un cadeau,Gateau basque,Je ne sais pas,Non,sans_avis,43.47642489353933,-1.5518984025280895,43.47114375,-1.552726590666314
Biarritz,64200,Depuis quelques annees,regulier,par hasard en passant devant,pour me faire plaisir; pour regaler ma famille; pour faire un cadeau; quand je reçois du monde ou quand je suis invitee,Gateau basque,Gateau basque aux agrumes,Non,sans_avis,43.47642489353933,-1.5518984025280895,43.47114375,-1.552726590666314
Biarritz,75017,Depuis toujours,exceptionelle,"avec vos parents, votre famille",pour me faire plaisir,Kanougas,Autres,Non,Non,48.88567554503722,2.308888552109181,43.47114375,-1.552726590666314
Biarritz,64200,Depuis toujours,exceptionelle,par hasard en passant devant,pour me faire plaisir; pour faire un cadeau; quand je reçois du monde ou quand je suis invitee,Autres,Autres,Non,Non,43.47642489353933,-1.5518984025280895,43.47114375,-1.552726590666314
Biarritz,40700,Depuis quelques annees,regulier,par hasard en passant devant; bouche a oreille,pour me faire plaisir,Mouchous,Je ne sais pas,Non,sans_avis,62.2405821075,25.719169243125,43.47114375,-1.552726590666314
Biarritz,64200,Depuis quelques annees,regulier,"par hasard en passant devant; bouche a oreille; avec vos parents, votre famille",pour me faire plaisir; pour regaler ma famille; pour faire un cadeau; quand je reçois du monde ou quand je suis invitee,Autres,Autres,Non,sans_avis,43.47642489353933,-1.5518984025280895,43.47114375,-1.552726590666314
Biarritz,64200,Depuis toujours,exceptionelle,par hasard en passant devant; via les reseaux,pour me faire plaisir; pour regaler ma famille; pour faire un cadeau; quand je reçois du monde ou quand je suis invitee,Autres,Gateau basque aux agrumes,Non,sans_avis,43.47642489353933,-1.5518984025280895,43.47114375,-1.552726590666314
Biarritz,64100,Depuis toujours,exceptionelle,bouche a oreille,pour me faire plaisir; pour faire un cadeau,Gateau basque,Je ne sais pas,Non,oui,43.48437155,-1.4718677782037943,43.47114375,-1.552726590666314
Biarritz,33100,Depuis quelques annees,exceptionelle,bouche a oreille,pour me faire plaisir; pour faire un cadeau; quand je reçois du monde ou quand je suis invitee,Gateau basque,Autres,Non,sans_avis,51.7188767,8.82048751205386,43.47114375,-1.552726590666314
Biarritz,64200,C’est une de mes premieres visites,regulier,bouche a oreille,pour me faire plaisir; pour faire un cadeau,Autres,Je ne sais pas,Non,sans_avis,43.47642489353933,-1.5518984025280895,43.47114375,-1.552726590666314
Biarritz,64200,Depuis toujours,exceptionelle,"avec vos parents, votre famille",pour faire un cadeau,Autres,Autres,Non,sans_avis,43.47642489353933,-1.5518984025280895,43.47114375,-1.552726590666314
Biarritz,37230,C’est une de mes premieres visites,exceptionelle,par hasard en passant devant,pour faire un cadeau,Chocolat,Je ne sais pas,Non,Non,47.407129712647055,0.5746558341176471,43.47114375,-1.552726590666314
Biarritz,59280,Depuis quelques annees,exceptionelle,via les reseaux,pour regaler ma famille; pour faire un cadeau,Kanougas,Autres,Non,oui,50.68690168577878,2.880371405643341,43.47114375,-1.552726590666314
Biarritz,33320,Depuis quelques annees,exceptionelle,bouche a oreille,pour me faire plaisir,Mouchous,Je ne sais pas,Non,Non,44.89430785,-0.6485613730713807,43.47114375,-1.552726590666314
Biarritz,92330,Depuis quelques annees,exceptionelle,"avec vos parents, votre famille",pour me faire plaisir; pour faire un cadeau,Mouchous,Je ne sais pas,Non,sans_avis,48.77848319148936,2.289160995744681,43.47114375,-1.552726590666314
Biarritz,64200,Depuis quelques annees,exceptionelle,par hasard en passant devant,pour faire un cadeau,Mouchous,Autres,Non,sans_avis,43.47642489353933,-1.5518984025280895,43.47114375,-1.552726590666314
Biarritz,64990,Depuis quelques annees,regulier,par hasard en passant devant; bouche a oreille,pour me faire plaisir; pour faire un cadeau,Gateau basque,Autres,Non,sans_avis,43.46064595,-1.4282576589489366,43.47114375,-1.552726590666314
